"colname","filterzeros","uselog","dotable","dobarplot","doboxplot","dohist","dodensity","doqqplot","desc"
"MSSubClass",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case più frequenti sono a 1 o 2 piani successive al 1946"
"MSZoning",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case nel dataset sono prevalentemente in zone residenziali a bassa e media densità"
"LotFrontage",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La distribuzione non è normale nelle code. Il boxplot evidenzia che i valori sono solitamente nell'intervallo tra 50 e 100 piedi lineari, spesso possono raggiungere fino ai 200 piedi lineari. Inoltre è presente un outlier superiore a 300 piedi lineari. Confrontando il primo e il terzo quartile si nota che la distribuzione è solo lievemente asimmetrica."
"LotArea",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La distribuzione non è normale nelle code, non lo è neanche il suo logaritmo. La media si attesta intorno ai 10500 piedi quadrati e dai quartili si nota che è asimmetrica."
"Street",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Solo 6 delle case hanno un accesso non asfaltato sulla strada"
"Alley",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case generalmente non hanno un vialetto, tra quelle in cui c'è per metà sono asfaltati"
"LotShape",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La maggior parte delle proprietà nel dataset sono regolari o presentano lievi irregolarità nella forma"
"LandContour",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Prevalgono le case costruite in piano"
"Utilities",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Hanno tutte i servizi essenziali, tranne una"
"LotConfig",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I terreni interni e in angolo sono più frequenti"
"LandSlope",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La pendenza del suolo nelle proprietà è lieve nella maggior parte dei casi"
"Neighborhood",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I quartieri più scelti sono North Ames, College Creek e Old Town"
"Condition1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La maggior parte delle case non ha stazioni, arterie o strade di collegamento adiacenti"
"Condition2",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Molto simile al grafico precedente"
"BldgType",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Sono quasi tutte unifamiliari, seguono le villette a schiera"
"HouseStyle",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case sono prevalentemente a un piano o a due piani"
"OverallQual",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"La maggior parte delle case è valutata con una qualità tra 5 e 7 decimi"
"OverallCond",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"La valutazione delle condizioni solitamente è 5/10 e varia generalmente tra 4 e 7 decimi con alcuni outlier"
"YearBuilt",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Dal grafico della densità si nota che la distribuzione dei dati ha 3 mode, quindi si evidenziano periodi in cui venivano costruite molte case seguiti da periodi in cui la costruzione di case diminuisce significativamente. Dal boxplot notiamo che la maggior parte delle case è costruita tra il 1954 e il 2000 con alcuni outlier di costruzione antecedente."
"YearRemodAdd",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"La data dell'ultima ristrutturazione è solitamente recente: tra il 1967 e il 2004, ma c'è anche una grande quantità di edifici che non sono stati ristrutturati dopo gli anni 50'."
"RoofStyle",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I tetti sono a capanna o a falde"
"RoofMatl",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le coperture sono in tegole standard"
"Exterior1st",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Exterior2nd",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"MasVnrType",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I rivestimenti spesso non sono presenti, qualora fossero presenti sono spesso in mattone e più raramente in pietra"
"MasVnrArea",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Notiamo che 861 case non hanno rivestimenti dei muri e quindi possiamo non analizzarne la superficie. Escludendo queste notiamo che comunque prevalgono superfici con rivestimenti basse tra i 113 e i 330 piedi quadrati."
"ExterQual",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La qualità dei materiali esterni viene generalmente considerata nella media o buona"
"ExterCond",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le condizioni dei materiali esterni sono nella media o buone, ma raramente anche decenti"
"Foundation",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le fondamenta sono in calcestruzzo o cemento"
"BsmtQual",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità del seminterrato buona o nella media"
"BsmtCond",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Condizioni del seminterrato nella media"
"BsmtExposure",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Il seminterrato raramente può essere esposto ma generalmente non lo è"
"BsmtFinType1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I rating del seminterrato sono disomogenei"
"BsmtFinSF1",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Escludiamo come nel caso precedente dall'analisi della superficie dei seminterrati i valori di superficie pari a 0. Notiamo che le superfici dei seminterrati con la categoria di utilizzo definita in BsmtFinType1 sono distribuiti tra 371 e 867 piedi quadrati con un outlier massimo di 5644 piedi quadrati."
"BsmtFinType2",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Il secondo seminterrato non è completato"
"BsmtFinSF2",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Per il secondo seminterrato notiamo che ci sono ancora più valori nulli e i valori si abbassano notevolmente rispetto alla precedente analisi con primo e terzo quartile 178 e 551."
"BsmtUnfSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Sono molto più frequenti i seminterrati non finiti, per le superfici di questi continua a valere l'analisi di BsmtFinSF1."
"TotalBsmtSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Le superfici totali dei seminterrati sono tra 810 e 1310 piedi quadrati."
"Heating",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Riscaldamento con gas ad aria calda"
"HeatingQC",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità riscaldamento eccellente, seguita da nella media e da buona"
"CentralAir",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Riscaldamento centralizzato presente"
"Electrical",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Interruttori elettrici standard"
"X1stFlrSF",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"X2ndFlrSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"LowQualFinSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La maggior parte delle case non hanno finiture di bassa qualità. In quelle che c'è la superficie varia principalmente tra 168 e 477 piedi quadrati. Notiamo inoltre che la distribuzione è bimodale."
"GrLivArea",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"BsmtFullBath",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case non hanno bagni completi nel seminterrato o ne hanno uno solo"
"BsmtHalfBath",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Non hanno mezzi bagni nel seminterrato"
"FullBath",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Hanno uno o due bagni completi in casa"
"HalfBath",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Hanno uno o nessun mezzo bagno in casa"
"BedroomAbvGr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Hanno generalmente tra 2 e 4 stanze da letto"
"KitchenAbvGr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case hanno solitamente una sola cucina"
"KitchenQual",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità della cucina nella media o buona"
"TotRmsAbvGrd",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA
"Functional",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La casa è funzionale non danneggiata"
"Fireplaces",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Raramente c'è più di un camino in casa"
"FireplaceQu",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità dei camini, buona o nella media"
"GarageType",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Garage annessi o indipendenti"
"GarageYrBlt",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Si evidenzia anche negli anni di costruzione dei garage una distribuzione a più mode. I garage sono soprattutto di costruzione recente con un picco di costruzioni negli anni 2000."
"GarageFinish",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Molti dei garage non sono finiti, altri sono finiti in uno stato grezzo, altri ancora sono finiti"
"GarageCars",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La capienza dei garage contiene 2 auto o meno frequentemente 1 sola"
"GarageArea",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La distribuzione dell'area del garage ha più mode, le mode probabilmente corrispondono con la capienza in numero di auto per cui il garage è stato costruito."
"GarageQual",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità del garage nella media"
"GarageCond",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Condizioni del garage nella media"
"PavedDrive",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Strada del garage asfaltata"
"WoodDeckSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"OpenPorchSF",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"EnclosedPorch",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"X3SsnPorch",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"ScreenPorch",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"PoolArea",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Ci sono solo 7 piscine, troppo pochi valori."
"PoolQC",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Qualità piscina equamente distribuita tra eccellente, buona e decente"
"Fence",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Il confine offre un minimo di privacy"
"MiscFeature",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Generalmente non sono presenti altre strutture, avvolte sono presenti capannoni"
"MiscVal",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Non analizzo la variabile MiscVal in quanto le dimesioni di diverse caratteristiche della casa non sono comparabili (non posso comparare la grandezza di un campo da tennis con la grandezza di un ascensore)"
"MoSold",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Vengono vendute più case nei mesi primaverili ed estivi rispetto alle stagioni autunnali e invernali"
"YrSold",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Si evidenzia una descrescita nelle vendite nel 2010, forse dovuta al termine delle osservazioni nel dataset"
"SaleType",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Vendita con atto di garanzia convenzionale"
"SaleCondition",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Condizioni di vendita generalmente normali"
"SalePrice",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"I prezzi di vendità delle case sono nel range tra 34900 e 755000 con una media di circa 181000. La distribuzione è asimmetrica: non ci sono molte case a prezzi bassi, ce ne sono molte invece che superano il terzo quartile."
